210,0.01,197,8,37.53,197
211,0.01,108,8,38.52,197
212,0.01,146,8,39.89,197
213,0.01,206,8,41.86,206
214,0.01,189,8,43.65,206
215,0.01,185,8,45.4,206
216,0.01,252,8,47.83,252
217,0.01,201,8,49.74,252
218,0.01,215,8,51.78,252
219,0.01,174,8,53.42,252
220,0.01,295,8,56.27,295
221,0.01,256,8,58.74,295
222,0.01,286,8,61.52,295
223,0.01,214,8,63.56,295
224,0.01,293,8,66.39,295
225,0.01,216,8,68.45,295
226,0.01,178,8,70.13,295
227,0.01,200,8,72.04,295
228,0.01,249,8,74.44,295
229,0.01,209,8,76.44,295
230,0.01,154,8,77.82,295
231,0.01,219,8,79.91,295
232,0.01,265,8,82.46,295
233,0.01,195,8,84.29,295
234,0.01,211,8,86.31,295
235,0.01,357,8,89.78,357
236,0.01,203,8,91.68,357
237,0.01,216,8,93.74,357
238,0.01,208,8,95.72,357
239,0.01,323,8,98.87,357
240,0.01,275,8,101.53,357
241,0.01,205,9,103.5,357
242,0.01,284,9,106.25,357
243,0.01,242,9,108.48,357
244,0.01,220,9,110.58,357
245,0.01,259,10,113.08,357
246,0.01,211,10,114.83,357
247,0.01,244,10,116.81,357
248,0.01,310,10,119.48,357
249,0.01,372,10,122.64,372
250,0.01,423,10,126.67,423
251,0.01,258,10,128.82,423
252,0.01,243,10,130.84,423
253,0.01,190,10,132.57,423
254,0.01,155,10,133.88,423
255,0.01,312,10,136.41,423
256,0.01,148,10,137.44,423
257,0.01,262,10,139.88,423
258,0.01,278,11,142.56,423
259,0.01,203,11,144.43,423
260,0.01,198,11,146.17,423
261,0.01,302,11,149.03,423
262,0.01,236,11,151.09,423
263,0.01,228,11,152.84,423
264,0.01,312,11,155.76,423
265,0.01,198,11,157.54,423
266,0.01,269,11,160.05,423
267,0.01,161,11,161.51,423
268,0.01,243,11,163.76,423
269,0.01,250,20,166.15,423
270,0.01,500,20,170.69,500
271,0.01,465,20,174.89,500
272,0.01,243,20,176.92,500
273,0.01,244,20,178.97,500
274,0.01,192,20,180.54,500
275,0.01,312,20,183.42,500
